symbol,timestamp,open,high,low,CLOSE,TOTTRDQTY
ENDURANCE,2018-01-01,1363.35,1400,1353.7,1362.5,25798
ENERGYDEV,2018-01-01,34.05,37.25,33.4,35.65,373237
ENGINERSIN,2018-01-01,200.95,200.95,195.25,196,1106757
ENIL,2018-01-01,748,760,744,748,8110
EQ30,2018-01-01,250,250,231.35,231.35,69
EQUITAS,2018-01-01,149.5,151.45,146.6,147.5,2009096
ERIS,2018-01-01,796,807.95,779.05,783.85,39271
EROSMEDIA,2018-01-01,199.9,204.9,198.9,203.3,744036
ESABINDIA,2018-01-01,801.35,818.5,801.25,805.65,5525
ESCORTS,2018-01-01,787.85,797.35,770.5,774.35,1246643
ESSARSHPNG,2018-01-01,32.8,32.9,31.15,31.4,214653
ESSELPACK,2018-01-01,296.85,299,294.35,295.7,21815
ESTER,2018-01-01,61,65.65,58.25,63.9,684013
EUROCERA,2018-01-01,7.4,8,7,7.75,191723
EUROMULTI,2018-01-01,2.45,2.55,2.35,2.45,12599
EUROTEXIND,2018-01-01,35.6,36.45,34.6,35.2,5911
EVEREADY,2018-01-01,439,445,437.95,440.25,53671
EVERESTIND,2018-01-01,579.8,592,577.05,589.7,71037
EXCELCROP,2018-01-01,2000.35,2147.95,2000.3,2123,75183
EXCELINDUS,2018-01-01,624,634,611.45,621.3,12789
EXIDEIND,2018-01-01,222,223.85,219.05,219.75,756083
FACT,2018-01-01,52.9,53.9,51.55,52.25,243939
FAIRCHEM,2018-01-01,510.3,520,492.1,497.9,11900
FCL,2018-01-01,79.6,83.8,78.5,83.6,7070016
FCONSUMER,2018-01-01,75.3,78,74.9,76.1,5926558
FDC,2018-01-01,253,255.95,244,248.5,71671
FEDDERELEC,2018-01-01,75.95,79.95,75.5,78.55,334674
FEDERALBNK,2018-01-01,109.5,109.9,108.3,108.7,2320304
FEL,2018-01-01,48.75,50.95,48.25,49.25,2295560
FELDVR,2018-01-01,49.25,50.15,48.15,49,63850
FIEMIND,2018-01-01,1019.95,1035,1012,1014.9,13868
FILATEX,2018-01-01,221.35,227,217.65,222.6,113942
FINCABLES,2018-01-01,703.1,709.7,696.65,702.45,17353
FINPIPE,2018-01-01,667,672.55,660,662.25,43367
FLEXITUFF,2018-01-01,108.7,112.75,102.7,106.45,174145
FLFL,2018-01-01,343.55,349.15,343,343.4,21200
FMGOETZE,2018-01-01,530,530.05,523.5,525.6,3671
FMNL,2018-01-01,142.75,145.85,138,141.4,22608
FORTIS,2018-01-01,159.95,163.25,156.25,157.4,2878195
FORTUNEFIN,2018-01-01,283.05,294.35,281.4,284.8,53910
FOSECOIND,2018-01-01,1988,2049,1980.05,1992.25,5516
FRETAIL,2018-01-01,529,531.05,525.05,526.3,61763
FSC,2018-01-01,677.65,681.5,674,678.65,74188
FSL,2018-01-01,41.1,42.1,40.65,40.95,3758227
GABRIEL,2018-01-01,200,202.7,196.8,201.7,223582
GAEL,2018-01-01,196.6,199.8,190.1,192.6,127748
GAIL,2018-01-01,502.8,504.75,496.85,498.65,1639410
GALLANTT,2018-01-01,40.1,40.1,38.1,40.1,127372
GALLISPAT,2018-01-01,220,220,213,219.3,126332
GAMMNINFRA,2018-01-01,3.9,4.2,3.75,3.8,25409355
GANDHITUBE,2018-01-01,429.5,433,427,427.75,20646
GANECOS,2018-01-01,418.9,418.9,402,403.5,12841
GANESHHOUC,2018-01-01,175.7,183.6,172.6,177.25,1021235
GARDENSILK,2018-01-01,43.1,45.2,42.5,43.35,261980
GARWALLROP,2018-01-01,971.6,971.65,935,937.35,17585
GATI,2018-01-01,135.55,138.5,133.6,134.8,1423465
GAYAPROJ,2018-01-01,228,234.7,225.4,227.2,753889
GDL,2018-01-01,234.85,239.95,234.75,237.9,35207
GEECEE,2018-01-01,171.2,177.9,169.45,170.4,29531
GENESYS,2018-01-01,328.95,332,319.55,323.45,38122
GENUSPOWER,2018-01-01,75.2,75.75,73.2,73.65,561473
GEOJITFSL,2018-01-01,123,123,118.5,119,136329
GEPIL,2018-01-01,745,753,728,740.95,22770
GESHIP,2018-01-01,399,405.9,398,403.65,113210
GET&D,2018-01-01,440.5,453,436.1,447.5,83589
GHCL,2018-01-01,318.95,320.95,315.95,318.3,335499
GICHSGFIN,2018-01-01,463.9,473,460.55,462.3,110951
GICRE,2018-01-01,753,767.05,752.3,764.75,99009
GILLETTE,2018-01-01,6834.55,6890,6750,6771.75,1646
GINNIFILA,2018-01-01,43,43.35,42.05,42.25,234577
GIPCL,2018-01-01,133.5,136.85,131.25,133.15,197190
GITANJALI,2018-01-01,68.6,72,68.35,71.05,4451713
GKWLIMITED,2018-01-01,592,595,575.5,579.8,177
GLAXO,2018-01-01,2490,2490,2454,2463,8292
GLENMARK,2018-01-01,596.15,603.8,594,596.1,512502
GLOBALVECT,2018-01-01,177.45,177.7,173.6,174.65,26601
GMBREW,2018-01-01,944,960.3,938.05,943.8,49256
GMDCLTD,2018-01-01,166.95,170.45,165,168,578704
GMRINFRA,2018-01-01,22.7,23.55,22.15,22.3,104419392
GNA,2018-01-01,435.9,440.4,429,434.65,110595
GNFC,2018-01-01,494.2,498.5,486,487.8,585485
GOACARBON,2018-01-01,882.6,906,840,885.4,208827
GOCLCORP,2018-01-01,567,580,566,569.9,3772
GODFRYPHLP,2018-01-01,993,997.5,984,989.3,38700
GODREJAGRO,2018-01-01,581.45,596.7,581,591.25,310670
GODREJCP,2018-01-01,1007.95,1007.95,982.6,986.25,150338
GODREJIND,2018-01-01,603.2,614.9,599.7,602.25,286411
GODREJPROP,2018-01-01,692.55,714.9,692.55,703.85,86821
GOKEX,2018-01-01,134.65,135.8,131.1,131.65,205856
GOLDBEES,2018-01-01,2630.8,2649.7,2630.8,2643.6,10360
